#
# Akira, är det anime och japan?
# Vad menar jag med (*)? Jag hade skrivit * framfär positionen tidigare.
#
#kategori:§animerat
#kategori:§astrid
#kategori:§beck
#kategori:§bond
#kategori:§dokumentar
#kategori:§eget
#kategori:§fantasy
#kategori:§fel
#kategori:§halloween
#kategori:§japan
#kategori:§jul
#kategori:§krig
#kategori:§melbrooks
#kategori:§nintendods
#kategori:§ps3
#kategori:§sf
#kategori:§stallone
#kategori:§stephenking
#kategori:§sverige
#kategori:§wallander
#kategori:§western
#kategori:§xbox
#kategori:§zoombie
#
#format:*xvid
#format:*vcd
#format:*scr
#format:*dvd
#
#location: 
#
#language:#spoken/subtitle (en, se, ???)
#
#destinaton:&ms (mediaserver)
#
Göta Kanal 3	    		§wanted
Nikita				§wanted
Starship Troopers II		§wanted
C104	Masjävlar	*dvd, §sverige
C104	Jurassic park 2 - The Lost World 2/2	*dvd
C105	Jurassic park	*dvd
C106	Tjenare Kungen	se, §sverige
C107	Sista dansen	§sverige, §sverige
C108	Vinnare och förlorare	*dvd
C109	Eragon		*xvid, se
C109	Hata Göteborg		*xvid, §sverige
C109	Descent, The		*xvid, se
C109	Förortsungar		*xvid, §sverige
C109	Night at the Museum		*xvid, se
C109	Underbara Älskade		*xvid
C110	Simpsons, The	se
C111	Hiruku the Goblin	*xvid, §???japan???
C111	Tetsuo - The Iron Man	*xvid, §japan, &ms
C111	Tetsuo II - Body Hammer	*xvid, §japan, &ms
C112	One missed call	se
C113	Simpsons, The
C114	Mulholland Drive (1/2)	*dvd
C115	Mulholland Drive (2/2)	*dvd
C116	Shrek 2	se
C117	Hidalgo (1/2)	*dvd
C118	Hidalgo (2/2)	*dvd
C119	Zorro (1/2)	*dvd
C120	Zorro (2/2)	*dvd
C121	Harry Potter och fången från Azakaban (1/2)	*dvd, §fantasy
C122	Harry Potter och fången från Azakaban (2/2)	*dvd, §fantasy
C123	Harry Potter och hemligheternas kammare (1/2)	*dvd, §fantasy
C124	Harry Potter och hemligheternas kammare (2/2)	*dvd, §fantasy
C125	Indiana Jones och jakten på den försvunna skatten	*dvd
C126	Indiana Jones och de fördömdas tempel	*dvd
C127	Indiana Jones och det sista korståget	*dvd
C128	Sova med fienden	*dvd
